"##features#size#min";"##characteristics#cpu_div_by_gpu_copy#min"
118;0.224817518248
119;0.225095009657
120;0.229988667972
121;0.232260239339
122;0.232608448138
123;0.233393177738
124;0.233412174779
125;0.235729263747
126;0.236646838781
127;0.236836480228
128;0.237591155022
129;0.238941398866
130;0.240622737147
131;0.240980573543
132;0.241489787745
133;0.241707833451
134;0.244111206954
135;0.24651810585
136;0.246913580247
137;0.247736327418
138;0.24820616473
139;0.249580838323
140;0.251724352203
141;0.253141690229
142;0.254386945345
143;0.254955305091
144;0.257959183673
145;0.257999597505
146;0.260651629073
147;0.266602269983
148;0.270597525665
149;0.270605122006
150;0.27258027258
151;0.272676683361
152;0.279197797877
153;0.279759346798
154;0.28290037111
155;0.283310256683
156;0.283313936573
157;0.283818493151
158;0.286505058217
159;0.287689097548
160;0.288894385357
161;0.288923098454
162;0.291059042001
163;0.291297824456
164;0.292093187434
165;0.292102827031
166;0.295248868778
167;0.295639742673
168;0.297347089167
169;0.300352919324
170;0.30087124879
171;0.30420686383
172;0.304647599591
173;0.305430879713
174;0.306565176023
175;0.307504078303
176;0.309342230696
177;0.309342274481
178;0.314416475973
179;0.315272318922
180;0.317639539838
181;0.318322698268
182;0.319861539901
183;0.325436872577
184;0.329387298032
185;0.332810047096
186;0.333845831295
187;0.334462511292
188;0.334519572954
189;0.334581539038
190;0.335783593061
191;0.339123189335
192;0.339567107408
193;0.343762120233
194;0.34496550345
195;0.345123537061
196;0.347996384453
197;0.353944383769
198;0.356427525622
199;0.356893542757
200;0.358130874268
201;0.361349888571
202;0.362483311081
203;0.362726957326
204;0.362817250155
205;0.365153933865
206;0.365752634614
207;0.367788807366
208;0.368064085447
209;0.370635919347
210;0.371728696912
211;0.373880039821
212;0.378661905028
213;0.380035231944
214;0.381851400731
215;0.385865724382
216;0.388863375431
217;0.390930341281
218;0.391150626527
219;0.391162310867
220;0.393464742462
221;0.402236124052
222;0.406418877109
223;0.406856824305
224;0.407552083333
225;0.41104916371
226;0.411886518948
227;0.415015015015
228;0.417368294443
229;0.419126910226
230;0.421439509954
231;0.421810020463
232;0.421933354564
233;0.424474474474
234;0.427883136853
235;0.428539190612
236;0.429166422244
237;0.429267473118
238;0.429274373442
239;0.432953204876
240;0.44278446777
241;0.443574389682
242;0.444917781375
